ColonyID,SampleID,Species,Phenotype,Treatment,Tank,Assigned_Timepoint,Date_Sampled,Assay,Notes
203,MC-203-A3,Montipora capitata,Susceptible,Ambient,A3,TP1,,Physiology & C13,
211,MC-211-H2-pHi,Montipora capitata,Susceptible,High,H2,TP2,,Intracellular pH,
211,MC-211-H2,Montipora capitata,Susceptible,High,H2,TP2,,Physiology & C13,
211,MC-211-H3-pHi,Montipora capitata,Susceptible,High,H3,BACKUP,,Intracellular pH,
211,MC-211-H3,Montipora capitata,Susceptible,High,H3,BACKUP,,Physiology & C13,
213,MC-213-A1-pHi,Montipora capitata,Susceptible,Ambient,A1,BACKUP,,Intracellular pH,
213,MC-213-A1,Montipora capitata,Susceptible,Ambient,A1,BACKUP,,Physiology & C13,
209,MC-209-A3-pHi,Montipora capitata,Susceptible,Ambient,A3,TP1,,Intracellular pH,
209,MC-209-A3,Montipora capitata,Susceptible,Ambient,A3,TP1,,Physiology & C13,
213,MC-213-A3-pHi,Montipora capitata,Susceptible,Ambient,A3,TP2,,Intracellular pH,
213,MC-213-A3,Montipora capitata,Susceptible,Ambient,A3,TP2,,Physiology & C13,
213,MC-213-H1-pHi,Montipora capitata,Susceptible,High,H1,BACKUP,,Intracellular pH,
213,MC-213-H1,Montipora capitata,Susceptible,High,H1,BACKUP,,Physiology & C13,
214,MC-214-A3-pHi,Montipora capitata,Resistant,Ambient,A3,TP1,,Intracellular pH,
214,MC-214-A3,Montipora capitata,Resistant,Ambient,A3,TP1,,Physiology & C13,
213,MC-213-H3-pHi,Montipora capitata,Susceptible,High,H3,TP2,,Intracellular pH,
213,MC-213-H3,Montipora capitata,Susceptible,High,H3,TP2,,Physiology & C13,
214,MC-214-A1-pHi,Montipora capitata,Resistant,Ambient,A1,TP2,,Intracellular pH,
214,MC-214-A1,Montipora capitata,Resistant,Ambient,A1,TP2,,Physiology & C13,
214,MC-214-A2-pHi,Montipora capitata,Resistant,Ambient,A2,BACKUP,,Intracellular pH,
